rikishi_id,shikona,highest_rank_name,debut_basho,last_basho,debut_year,last_year,career_wins,career_losses,career_absences,career_appearances,career_bashos,win_rate,win_rate_bucket,career_bashos_bucket,career_year_span,is_low_win_long_career
396,源 高二,三段目,昭和62年3月,平成13年5月,1987,2001.0,275,311,9,586,86,0.46928327645051193,0.45-0.49,60-89,14.0,False
397,千力良 友和,三段目,平成4年3月,平成12年7月,1992,2000.0,176,167,7,343,51,0.5131195335276968,0.50-0.54,36-59,8.0,False
398,千代函山 竜也,幕下,平成6年3月,平成12年7月,1994,2000.0,135,117,14,251,39,0.5357142857142857,0.50-0.54,36-59,6.0,False
399,輝の里 一輝,三段目,平成5年3月,,1993,,610,713,47,1319,197,0.46107331821617537,0.45-0.49,>=120,,False
400,照昇 裕章,三段目,昭和63年11月,平成13年3月,1988,2001.0,244,271,3,515,75,0.47378640776699027,0.45-0.49,60-89,13.0,False
401,上総富士 上総,三段目,平成4年3月,平成12年3月,1992,2000.0,151,165,20,314,49,0.4778481012658228,0.45-0.49,36-59,8.0,False
402,琴井 広信,三段目,平成6年3月,平成10年11月,1994,1998.0,87,84,25,171,29,0.5087719298245614,0.50-0.54,24-35,4.0,False
403,海光 忠士,幕下,平成2年3月,平成14年11月,1990,2002.0,246,221,65,466,77,0.5267665952890792,0.50-0.54,60-89,12.0,False
404,平野 泰寛,三段目,平成6年5月,平成18年1月,1994,2006.0,230,245,15,475,71,0.4842105263157895,0.45-0.49,60-89,12.0,False
405,琴木附 辰弘,序二段,平成9年3月,平成11年11月,1997,1999.0,39,32,27,70,16,0.5492957746478874,0.50-0.54,12-23,2.0,False
406,木瀬錦 聖,三段目,平成4年3月,平成13年5月,1992,2001.0,191,180,14,370,56,0.5148247978436657,0.50-0.54,36-59,9.0,False
407,双瀬川 勝昭,幕下,平成7年3月,平成21年3月,1995,2009.0,294,294,0,588,85,0.5,0.50-0.54,60-89,14.0,False
408,若剛 公彦,三段目,平成2年3月,平成12年9月,1990,2000.0,217,224,0,441,64,0.49206349206349204,0.45-0.49,60-89,10.0,False
