zone,record,sampleCount,promotedToJuryo,stayedMakushita,demotedOrLower,demotedToMakushita,stayedJuryo,promotedOrAbove
Juryo_Mid,5-7,4,,,,0,4,0
Juryo_Mid,5-8,7,,,,1,6,0
Juryo_Mid,5-9,1,,,,0,1,0
Juryo_Mid,5-10,215,,,,19,196,0
Juryo_Mid,6-5,2,,,,0,2,0
Juryo_Mid,6-6,1,,,,0,1,0
Juryo_Mid,6-7,6,,,,0,6,0
Juryo_Mid,6-8,2,,,,0,2,0
Juryo_Mid,6-9,489,,,,3,486,0
Juryo_Mid,7-2,1,,,,0,1,0
Juryo_Mid,7-4,1,,,,0,1,0
Juryo_Mid,7-6,1,,,,0,1,0
Juryo_Mid,7-7,5,,,,0,5,0
Juryo_Mid,7-8,546,,,,2,544,0
Juryo_Mid,8-4,1,,,,0,1,0
Juryo_Mid,8-5,1,,,,0,1,0
Juryo_Mid,8-6,1,,,,0,1,0
Juryo_Mid,8-7,723,,,,0,722,1
Juryo_Mid,9-3,1,,,,0,1,0
Juryo_Mid,9-4,1,,,,0,0,1
Juryo_Mid,9-5,2,,,,0,2,0
Juryo_Mid,9-6,412,,,,0,403,9
Juryo_Mid,10-3,2,,,,0,1,1
Juryo_Mid,10-4,1,,,,0,1,0
Juryo_Mid,10-5,205,,,,0,191,14
Juryo_Mid,11-4,97,,,,0,65,32
Juryo_Mid,12-3,50,,,,0,21,29
Juryo_Mid,13-2,21,,,,0,7,14
Juryo_Mid,14-1,4,,,,0,0,4
Juryo_Mid,15-0,1,,,,0,0,1
